Name,WHO Region, Cases - cumulative total , Cases - cumulative total per 100000 population , Cases - newly reported in last 7 days , Cases - newly reported in last 7 days per 100000 population , Cases - newly reported in last 24 hours , Deaths - cumulative total , Deaths - cumulative total per 100000 population , Deaths - newly reported in last 7 days , Deaths - newly reported in last 7 days per 100000 population , Deaths - newly reported in last 24 hours ,,,
United States of America,Americas," 88,544,725 "," 26,750 "," 848,374 ", 256 ," 133,265 "," 1,014,343 ", 306 ," 2,424 ", 1 , 383 ,,,
India,South-East Asia," 43,803,619 "," 3,174 "," 133,769 ", 10 ," 20,557 "," 525,825 ", 38 , 306 , 0 , 40 ,,,
Brazil,Americas," 33,339,815 "," 15,685 "," 399,308 ", 188 ," 38,697 "," 675,518 ", 318 ," 1,760 ", 1 , 168 ,,,
France,Europe," 32,210,617 "," 49,525 "," 608,866 ", 936 ," 134,457 "," 147,567 ", 227 , 680 , 1 , 144 ,,,
Germany,Europe," 29,994,679 "," 36,066 "," 615,719 ", 740 ," 99,532 "," 142,771 ", 172 , 96 , 0 , 5 ,,,
The United Kingdom,Europe," 23,075,360 "," 33,991 "," 15,859 ", 23 , -   ," 181,580 ", 267 , -   , -   , -   ,,,
Italy,Europe," 20,299,013 "," 34,035 "," 631,693 "," 1,059 "," 121,103 "," 170,213 ", 285 , 823 , 1 , 176 ,,,
Republic of Korea,Western Pacific," 18,937,971 "," 36,938 "," 335,889 ", 655 ," 76,402 "," 24,777 ", 48 , 97 , 0 , 12 ,,,
Russian Federation,Europe," 18,504,729 "," 12,680 "," 32,490 ", 22 ," 5,685 "," 381,997 ", 262 , 286 , 0 , 37 ,,,
Türkiye,Europe," 15,297,539 "," 18,138 ", -   , -   , -   ," 99,088 ", 117 , -   , -   , -   ,,,
Spain,Europe," 13,132,159 "," 27,744 "," 99,318 ", 210 ," 41,683 "," 109,642 ", 232 , 686 , 1 , 294 ,,,
Viet Nam,Western Pacific," 10,762,532 "," 11,057 "," 6,278 ", 6 ," 1,907 "," 43,091 ", 44 , 2 , 0 , -   ,,,
Japan,Western Pacific," 10,469,440 "," 8,278 "," 658,566 ", 521 ," 81,362 "," 31,643 ", 25 , 178 , 0 , 33 ,,,
Argentina,Americas," 9,465,827 "," 20,944 "," 39,656 ", 88 , -   ," 129,202 ", 286 , 57 , 0 , -   ,,,
Australia,Western Pacific," 8,850,343 "," 34,707 "," 298,377 "," 1,170 "," 50,248 "," 10,794 ", 42 , 409 , 2 , 75 ,,,
Netherlands,Europe," 8,292,279 "," 47,636 "," 38,470 ", 221 ," 5,018 "," 22,439 ", 129 , 30 , 0 , 6 ,,,
Iran (Islamic Republic of),Eastern Mediterranean," 7,289,542 "," 8,679 "," 34,525 ", 41 ," 5,377 "," 141,532 ", 169 , 81 , 0 , 19 ,,,
Mexico,Americas," 6,454,263 "," 5,006 "," 95,089 ", 74 ," 5,786 "," 326,523 ", 253 , 190 , 0 , 19 ,,,
